cas,chemical_name,canonical_smiles,log_kow,water_solubility_mg_l,mw_g_mol,test,aster,irac_moa,efsa_selection_criteria,kramer_moa,test_moa_reduced,aster_moa_reduced,kramer_moa_reduced,efsa_moa_reduced,irac_moa_reduced
658066354,Fluopyram,OC(=NCCC1=C(Cl)C=C(C=N1)C(F)(F)F)C1=CC=CC=C1C(F)(F)F,5.68,4.4900000000000002E-2,396.72,Out of domain,Nonpolar narcosis,NA,NA,Respiratory system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
657841,Sodium 4-methylbenzenesulfonate,[Na+].CC1=CC=C(C=C1)S([O-])(=O)=O,-0.62,620000,172.2,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6575093,2-Chloro-6-methylbenzonitrile,CC1=CC=CC(Cl)=C1C#N,2.73,188,151.6,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
65733166,S-Methoprene,COC(C)(C)CCC[C@H](C)C\C=C\C(\C)=C\C(=O)OC(C)C,5.5,1.4,310.48,Narcosis,Acrylate toxicity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
65732072,(+)-Theta-Cypermethrin,CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,6.94,0.115,416.31,Neurotoxicity,Ester narcosis,NA,NA,NA,Neurotoxicity,Non-neurotoxic,NA,NA,NA
657249,Metformin,CN(C)C(=N)NC(N)=N,-2.64,1000000,129.16999999999999,Out of domain,Nonpolar narcosis,NA,negative control,"Metabolic system, Respiratory system, Lipid metabolsim",Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,No categorization,NA
65589700,Acriflavine,[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13.Nc4ccc5cc6ccc(N)cc6nc5c4,-0.49,6510,225.3,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
655765,Quinaldine monosulfate,Cc1ccc2ccccc2n1.OS(=O)(=O)O,2.59,499,143.19,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
654660,3-Trifluoromethyl-4-nitrophenol sodium salt,[Na+].[O-]C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,2.87,5000,207.11,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
65452,Salicylamide,NC(=O)C1=CC=CC=C1O,1.28,2060,137.13999999999999,Narcosis,Nonpolar narcosis,NA,NA,Metabolic system,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
65431336,Trypaflavine,[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13.Nc4ccc5cc6ccc(N)cc6nc5c4,-0.49,6510,225.3,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
65343671,Ethyl 2-(4-hydroxyphenoxy)propanoate,CCOC(=O)C(C)Oc1ccc(O)cc1,2.04,2650,210.23,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
653372,Pentafluorobenzaldehyde,FC1=C(F)C(F)=C(C=O)C(F)=C1F,2.71,221,196.08,Out of domain,Carbonyl reactivity (aldehyde eq. #1),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
65337135,(+/-)-3-Butyn-2-ol,CC(O)C#C,0,442000,70.09,Reactivity,Alkylation / arylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
65305,Nicotine sulfate,OS(O)(=O)=O.CN1CCC[C@H]1C1=CN=CC=C1.CN1CCC[C@H]1C1=CN=CC=C1,1.17,1000000,162.24,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
65281778,"12,14-Dichlorodehydroabietic acid",CC(C)C1=C(Cl)C2=C(C=C1Cl)[C@@]1(C)CCC[C@](C)([C@@H]1CC2)C(O)=O,7.81,2.5100000000000001E-3,369.33,Neurotoxicity,Neurotoxicant: Cyclodiene-type,NA,NA,NA,Neurotoxicity,Neurotoxicant: Cyclodiene-type,NA,NA,NA
65277421,Ketoconazole,CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,4.34,10,531.44000000000005,Out of domain,Nonpolar narcosis,NA,NA,Sterol biosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
65195553,Abamectin B1a,CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C=C[C@@H]1C,4.3899999999999997,4.28E-4,873.1,Neurotoxicity,Out of domain,glutamate_gated_chloride_channel_glu_cl_allosteric_modulators,NA,Neuroactive,Neurotoxicity,Non-neurotoxic,Neuroactive,NA,irac_moa_other
6515384,"3,5,6-Trichloro-2-pyridinol",OC1=NC(Cl)=C(Cl)C=C1Cl,3.21,80.900000000000006,198.44,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
65071956,"Tall oil, ethoxylated",CCCCCCCCC=CCCCCCCCC(=O)OCCOCCOCCOCCOCCO,5.94,1.8700000000000001E-2,502.74,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
650511,Sodium trichloroacetate,[Na+].[O-]C(=O)C(Cl)(Cl)Cl,1.44,54600,163.38999999999999,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64924670,Halofuginone hydrobromide,Br.O[C@@H]1CCCN[C@H]1CC(=O)CN2C=Nc3cc(Br)c(Cl)cc3C2=O,1.29,197,414.69,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6491027,3'-Chloro-3-nitrosalicylanilide,OC1=C(C=CC=C1[N+]([O-])=O)C(=O)NC1=CC(Cl)=CC=C1,4.34,2.68,292.68,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64902723,Chlorsulfuron,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(Cl)C=CC=C2)=N1,2,31000,357.77,Narcosis,Nonpolar narcosis,NA,NA,Protein biosynthesis inhibition,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
64755,Tetracycline hydrochloride,Cl.CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,-1.3,231,444.44,Neurotoxicity,Out of domain,NA,NA,NA,Neurotoxicity,Non-neurotoxic,NA,NA,NA
64742898,"Solvent naphtha, petroleum, light aliph.",CCCCCCC,4.66,3.4,100.21,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64742478,"Distillates, petroleum, hydrotreated light",CCCCCCCCCCCC,6.1,3.7000000000000002E-3,170.34,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64722,Chlortetracycline hydrochloride,Cl.CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O,-0.62,630,478.89,Neurotoxicity,Out of domain,NA,NA,NA,Neurotoxicity,Non-neurotoxic,NA,NA,NA
64700567,Triclopyr-butotyl,CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,4.01,1000000,356.64,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64628440,Triflumuron,FC(F)(F)OC1=CC=C(NC(=O)NC(=O)C2=CC=CC=C2Cl)C=C1,4.91,2.5000000000000001E-2,358.71,Narcosis,Nonpolar narcosis,NA,NA,Growth and development inhibition (insects),Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
646071,"Pentanoic acid, 4-methyl-",CC(C)CCC(O)=O,1.98,5270,116.16,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
646060,"1,3-Dioxolane",C1COCO1,-0.37,1000000,74.08,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6458135,Ethyl dimethyl oleyl ammonium bromide,[Br-].CCCCCCCC\C=C/CCCCCCCC[N+](C)(C)CC,6.44,2.7300000000000001E-2,325.63,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
645567,4-Propylphenol,CCCC1=CC=C(O)C=C1,3.2,1280,136.19999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6452739,Oxprenolol hydrochloride,Cl.CC(C)NCC(O)COC1=CC=CC=C1OCC=C,2.1,3180,265.36,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
645089,Isovanillic acid,COC1=C(O)C=C(C=C1)C(O)=O,1.22,5710,168.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6448959,C.I. Pigment Red 22,CC1=C(C=C(C=C1)[N+]([O-])=O)N=NC1=C2C=CC=CC2=CC(C(=O)NC2=CC=CC=C2)=C1O,8.23,2.7399999999999999E-4,426.43,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64425861,"Alcohols (C13-C15), ethoxylated",CCCOCCO,0.08,317000,104.15,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6441776,Phloxine,[K+].[K+].[O-]c1c(Br)cc2c(Oc3c(Br)c([O-])c(Br)cc3C24OC(=O)c5c(Cl)ccc(Cl)c45)c1Br,8.1999999999999993,7.9599999999999998E-7,716.79,Neurotoxicity,Out of domain,NA,NA,NA,Neurotoxicity,Non-neurotoxic,NA,NA,NA
6440580,"1,3-Dimethylol-5,5-dimethylhydantoin",CC1(C)N(CO)C(=O)N(CO)C1=O,-2.9,773000,188.18,Out of domain,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
643798,"1,2-Benzenedicarboxaldehyde",O=CC1=CC=CC=C1C=O,1.43,5350,134.13999999999999,Narcosis,Carbonyl reactivity (aldehyde eq. #1),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64365066,"Alkanes, iso-",CCCCCC(C)C,4.2,7.97,114.23,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64359815,"4,5-Dichloro-2-octyl-3(2H)-isothiazolone",CCCCCCCCN1SC(Cl)=C(Cl)C1=O,3.59,13.4,282.23,Narcosis,Nonpolar narcosis,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
64249010,Anilofos,COP(=S)(OC)SCC(=O)N(C(C)C)C1=CC=C(Cl)C=C1,3.81,13.6,367.85,AChE inhibition,OP mediated AChE inhibition,NA,NA,Lipid metabolism,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,NA
64197,Acetic acid,CC(O)=O,-0.17,1000000,60.05,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64186,Formic acid,OC=O,-0.54,1000000,46.03,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64175,Ethanol,CCO,-0.31,1000000,46.07,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6416688,"Benzenesulfonic acid, 5-(2H-naphtho[1,2-d]triazol-2-yl)-2-(2-phenylethenyl)-, sodium salt",[Na+].[O-]S(=O)(=O)C1=C(C=CC2=CC=CC=C2)C=CC(=C1)N1N=C2C=CC3=CC=CC=C3C2=N1,3.48,0.17100000000000001,427.48,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6408782,Acid Blue 25,[Na+].NC1=C(C=C(NC2=CC=CC=C2)C2=C1C(=O)C1=C(C=CC=C1)C2=O)S([O-])(=O)=O,2.2200000000000002,3.2899999999999999E-2,394.4,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64047887,"Phenol, 2,4-dichloro-6-nitro-, sodium salt",[Na+].[O-]C1=C(C=C(Cl)C=C1Cl)[N+]([O-])=O,3.2,17,208,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64036437,2-Methylmercaptobenzothiazole,Cc1nc2cc(S)ccc2s1.Cc3nc4ccc(S)cc4s3.Cc5nc6c(S)cccc6s5.Cc7nc8cccc(S)c8s7,3.41,66.599999999999994,181.27,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
64028,Ethylenediaminetetraacetic acid tetrasodium salt,[Na+].[Na+].[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,-3.86,1000,292.25,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
640153,Thiometon,CCSCCSP(=S)(OC)OC,3.15,200,246.34,AChE inhibition,OP mediated AChE inhibition,organophosphates,NA,Neuromuscular system,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,organophosphates
64006,m-Cumenyl methylcarbamate,CNC(=O)OC1=CC=CC(=C1)C(C)C,2.63,85,193.25,AChE inhibition,Nonpolar narcosis,NA,NA,NA,AChE inhibition,Non-neurotoxic,NA,NA,NA
63935386,Cycloprothrin,CCOC1=CC=C(C=C1)C1(CC1(Cl)Cl)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,6.53,1.3500000000000001E-3,482.37,Neurotoxicity,Ester narcosis,sodium_channel_modulators,NA,NA,Neurotoxicity,Non-neurotoxic,NA,NA,sodium_channel_modulators
6393426,"2,6-Dinitro-4-methylaniline",CC1=CC(=C(N)C(=C1)[N+]([O-])=O)[N+]([O-])=O,1.84,1220,197.15,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6392467,Allyxycarb,CNC(=O)OC1=CC(C)=C(N(CC=C)CC=C)C(C)=C1,4.1399999999999997,70,274.37,Reactivity,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6382065,Pentyl 2-hydroxypropanoate,CCCCCOC(=O)C(C)O,1.29,10000,160.21,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
638164,"1,3,5-Triazinane-2,4,6-trithione",S=C1NC(=S)NC(=S)N1,-0.39,60800,177.26,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
637070,Clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,3.62,21,242.7,Narcosis,Ester narcosis,NA,NA,Lipid metabolism,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
6369977,"2,4,5-T dimethylamine salt",C[NH2+]C.[O-]C(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,3.31,278,255.49,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
636306,"2,4,5-Trichloroaniline",NC1=CC(Cl)=C(Cl)C=C1Cl,3.45,51.6,196.46,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6362807,alpha-(2-Methyl-2-phenylpropyl)styrene,CC(C)(CC(=C)C1=CC=CC=C1)C1=CC=CC=C1,6.51,7.7200000000000005E-2,236.36,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6361213,2-Chloro-5-nitrobenzaldehyde,[O-][N+](=O)C1=CC=C(Cl)C(C=O)=C1,2.17,294,185.57,Out of domain,Carbonyl reactivity (aldehyde eq. #1),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6359984,"C.I. Acid Yellow 17, disodium salt",[Na+].[Na+].CC1=NN(C(=O)C1\N=N\C1=CC=C(C=C1)S([O-])(=O)=O)C1=CC(Cl)=C(C=C1Cl)S([O-])(=O)=O,1.73,7.85E-2,507.32,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
635938,5-Chlorosalicylaldehyde,OC1=C(C=O)C=C(Cl)C=C1,2.65,1470,156.57,Narcosis,Carbonyl reactivity (aldehyde eq. #1),NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
635121,"1,4-Anthraquinone",O=C1C=CC(=O)C2=CC3=CC=CC=C3C=C12,2.84,150,208.22,Narcosis,Alkylation / arylation based reactivity,NA,NA,"Nucleic acid biosynthesis inhibition, Nucleic acid damage",Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
634935,"2,4,6-Trichloroaniline",NC1=C(Cl)C=C(Cl)C=C1Cl,3.52,40,196.46,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
634902,"1,2,3,5-Tetrachlorobenzene",ClC1=CC(Cl)=C(Cl)C(Cl)=C1,4.5599999999999996,5.0999999999999996,215.89,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
634833,"2,3,4,5-Tetrachloroaniline",NC1=CC(Cl)=C(Cl)C(Cl)=C1Cl,4.2699999999999996,6.79,230.91,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
634673,"2,3,4-Trichloroaniline",NC1=C(Cl)C(Cl)=C(Cl)C=C1,3.33,65.3,196.46,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
634662,"1,2,3,4-Tetrachlorobenzene",ClC1=C(Cl)C(Cl)=C(Cl)C=C1,4.5999999999999996,5.92,215.89,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
63449412,Benzyl-C8-18-alkyldimethylammonium chlorides,[Cl-].CCC[N+](C)(C)Cc1ccccc1,0.51,20400,179.31,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
63449398,Chlorinated paraffin wax,CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl,7.57,8.8900000000000003E-4,411.46,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
633965,C.I. Acid Orange 7,[Na+].OC1=C(N=NC2=CC=C(C=C2)S([O-])(=O)=O)C2=CC=CC=C2C=C1,2.35,174000,328.34,Narcosis,Out of domain,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
63333357,Bromethalin,CN(C1=C(Br)C=C(Br)C=C1Br)C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F,7.68,6.1299999999999999E-5,577.94000000000005,Uncoupler,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
632995,C.I. Basic Violet 14,Cl.CC1=CC(=CC=C1N)C(C1=CC=C(N)C=C1)=C1C=CC(=N)C=C1,3.74,7.69,301.39,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
63252,Carbaryl,CNC(=O)OC1=C2C=CC=CC2=CC=C1,2.36,110,201.23,AChE inhibition,Nonpolar narcosis,a_ch_e_inhibitors,in vivo data available,Neuromuscular system,AChE inhibition,Non-neurotoxic,Non-neurotoxic,No categorization,a_ch_e_inhibitors
63231505,C15-18-unsatd. alkyl amines,CCCCCCCC\C=C/CCCCCCCCN.CCCCCC\C=C/CCCCCCCCN,7.5,7.6399999999999996E-2,267.5,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
632224,Tetramethylurea,CN(C)C(=O)N(C)C,0.19,1000000,116.16,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6317186,Methylene bis(thiocyanate),N#CSCSC#N,0.34,47000,130.18,Out of domain,Sulfhydryl based reactivity,NA,NA,unknown,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
631674,"Ethanethioamide, N,N-dimethyl-",CN(C)C(C)=S,-0.15,154000,103.18,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
631641,Dibromoacetic acid,OC(=O)C(Br)Br,0.7,2110000,217.85,Narcosis,Alkylation / arylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
63148629,Dimethyl polysiloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,6.7,3.4000000000000002E-2,236.54,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
63058,"4-Androstene-3,17-dione",[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,2.75,57.8,286.42,Out of domain,Nonpolar narcosis,NA,NA,Endocrine,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
630206,"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,2.93,1070,167.85,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
629970,Docosane,CCCCCCCCCCCCCCCCCCCCCC,11.15,7.8999999999999996E-9,310.61,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
629765,1-Pentadecanol,CCCCCCCCCCCCCCCO,6.24,0.10299999999999999,228.42,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
629403,"1,6-Dicyanohexane",N#CCCCCCCC#N,0.59,14800,136.19999999999999,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
629254,Sodium dodecanoate,[Na+].CCCCCCCCCCCC([O-])=O,4.5999999999999996,4.8099999999999996,200.32,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
62924703,Flumetralin,CCN(CC1=C(Cl)C=CC=C1F)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,5.45,7.0000000000000007E-2,421.74,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
629196,Dipropyl disulfide,CCCSSCCC,3.84,39.9,150.30000000000001,Narcosis,Sulfhydryl based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
629049,1-Bromoheptane,CCCCCCCBr,4.3600000000000003,6.64,179.1,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
628922,Cycloheptene,C1CCC=CCC1,3.45,66,96.17,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
628762,"1,5-Dichloropentane",ClCCCCCCl,3.3,125,141.04,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
628637,Pentyl acetate,CCCCCOC(C)=O,2.2999999999999998,1700,130.19,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6284839,"1,3,5-Trichloro-2,4-dinitrobenzene",[O-][N+](=O)C1=C(Cl)C(=C(Cl)C=C1Cl)[N+]([O-])=O,3.56,6.63,271.44,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6283869,"Propanoic acid, 2-hydroxy-, 2-ethylhexyl ester",CCCCC(CC)COC(=O)C(C)O,2.69,695,202.3,Narcosis,Ester narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
627634,Fumaryl chloride,ClC(=O)\C=C\C(Cl)=O,0.1,60500,152.97,Out of domain,Alkylation / arylation based reactivity,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
62760,Sodium oxalate,[Na+].[Na+].[O-]C(=O)C([O-])=O,-1.74,1350,90.04,Out of domain,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
62759,N-Nitrosodimethylamine,CN(C)N=O,-0.56999999999999995,1000000,74.08,Out of domain,Nitroso based reactivity,NA,NA,Nucleic acid damage,Non-neurotoxic,Non-neurotoxic,Non-neurotoxic,NA,NA
62748,Sodium fluoroacetate,[Na+].[O-]C(=O)CF,0.03,1000000,78.040000000000006,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
62737,Dichlorvos,COP(=O)(OC)OC=C(Cl)Cl,1.43,8000,220.98,AChE inhibition,OP mediated AChE inhibition,NA,NA,Neuromuscular system,AChE inhibition,OP mediated AChE inhibition,Non-neurotoxic,NA,NA
62732916,Debacarb,CCOCCOCCOC(=O)NC1=NC2=C(N1)C=CC=C2,1.5,710,293.33,AChE inhibition,Nonpolar narcosis,NA,NA,NA,AChE inhibition,Non-neurotoxic,NA,NA,NA
627305,3-Chloro-1-propanol,OCCCCl,0.5,250000,94.54,Out of domain,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
626937,"1-Pentanol, methyl-",CCCCC(C)O,1.76,13700,102.18,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
626642,4-Pyridinol,OC1=CC=NC=C1,0.32,63800,95.1,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
6266235,1-(Carboxymethyl)pyridinium chloride,[Cl-].OC(=O)C[N+]1=CC=CC=C1,-3.91,1000000,139.16,Narcosis,Out of domain,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
626620,"Cyclohexane, iodo-",IC1CCCCC1,3.86,19.600000000000001,210.06,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
626608,3-Chloropyridine,ClC1=CC=CN=C1,1.33,7740,113.55,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
626437,"3,5-Dichloroaniline",NC1=CC(Cl)=CC(Cl)=C1,2.9,784,162.02000000000001,Narcosis,Nonpolar narcosis,NA,NA,NA,Non-neurotoxic,Non-neurotoxic,NA,NA,NA
